id,x,y,iteration
0,429.1479274863166,149.9922817259045,0
1,312.73065304030376,565.1203061739883,0
2,571.1938933854462,87.5777813797083,0
3,151.3726464634283,176.71663218645162,0
4,427.372782563955,527.33733423211,0
5,411.5519492692338,399.401205147847,0
6,456.9019749293944,380.5026551950416,0
7,528.042304375176,215.658242434803,0
8,226.5030859290402,502.20507204190335,0
9,301.86968696932956,186.897201800921,0
10,389.4686219085971,521.0148063292545,0
11,279.7604130534258,302.7050253770439,0
12,130.15634225680438,480.1767744956639,0
13,146.09482067595152,61.47076362329216,0
14,191.9445950019212,332.168019870799,0
15,454.35281315047024,532.5022801917182,0
16,24.629020215640747,147.93975399934249,0
17,153.6131977069407,568.0779949020659,0
18,407.8939178600199,169.0438761615824,0
19,219.63845130918912,514.9286968614284,0
20,425.9766485760836,275.3668916001051,0
21,426.55078041690894,527.272490731904,0
22,505.09139420386754,65.01528893996273,0
23,365.8893158031906,596.8196057955842,0
24,227.66658681474803,530.3868829976251,0
25,324.86787424502256,385.27486824216936,0
26,387.29170060499007,309.412606677945,0
27,367.51092107981304,563.3647196729496,0
28,588.0660710501302,49.719694069781205,0
29,244.54635735936105,33.328177239541425,0
30,315.4208208811022,301.9097021654216,0
31,518.3682642044453,94.79383758402584,0
32,188.30611302807725,561.4063773415675,0
33,27.288359422820413,70.75299599005714,0
34,488.6963927981176,494.4458250376755,0
35,452.0476379402627,458.4319000265994,0
36,448.09775515636545,320.44946271085524,0
37,2.466607962055277,487.5042343486256,0
38,104.26230950401315,206.2921480514752,0
39,204.0691346324869,61.810995242931824,0
40,104.12457674209723,178.1838658062111,0
41,5.465215118303071,558.9739821653853,0
42,317.70404080922975,533.9973665319784,0
43,250.75231190911725,276.1762800828006,0
44,244.24040114040488,339.01421683240545,0
45,348.76160118692485,140.68028628125467,0
46,70.06121124479307,198.28656840368953,0
47,538.0970555193567,174.14171623877954,0
48,407.9617305063813,314.8174591774761,0
49,75.96561573694846,576.4954565886271,0
50,332.9923605156809,241.87096631680268,0
51,547.9475896344431,7.866671053951592,0
52,131.241659700967,289.2774793635227,0
53,382.56250230331534,311.22433047367053,0
54,148.88876648662975,197.61086312491105,0
55,380.59704461701637,144.2445182813302,0
56,33.22401631658669,272.32864405236626,0
57,479.32791172782356,13.0780939589244,0
58,525.018133938191,246.16820920225584,0
59,518.6528395564852,493.7625564213075,0
60,11.701139682937992,108.9206087332064,0
61,396.7138823677508,129.7019757184349,0
62,163.41325438039235,554.3545206678026,0
63,64.11509753082964,234.70744850149003,0
64,330.1666398366739,539.5869997004417,0
65,194.4723977788581,269.4771495020155,0
66,437.59601888296294,571.354981422262,0
67,583.0842574762137,594.4223198849897,0
68,177.52167242355773,380.8950955467963,0
69,411.76088076956285,574.40303810021,0
70,447.52772292091595,350.4652035410686,0
71,402.0340311947264,407.2639147311484,0
72,157.87928459113337,199.69493947788195,0
73,154.85041556648065,24.6475615447223,0
